,feature,score
195,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept""|V_10m",-29.418271981645375
1440,"value__fft_coefficient__coeff_6__attr_""imag""|U_10m",-22.53366393269971
1391,"value__fft_coefficient__coeff_4__attr_""imag""|U_100m",-22.53366393269971
1860,value__partial_autocorrelation__lag_6|U_100m,-11.291245470172726
1381,"value__fft_coefficient__coeff_4__attr_""abs""|V_100m",-8.593553309096023
607,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6|U_10m",-6.152202937169932
2187,value__variance|V_10m,-4.760633225087076
1844,value__partial_autocorrelation__lag_3|V_100m,-0.5370970816584304
1464,"value__fft_coefficient__coeff_7__attr_""imag""|U_10m",0.0
1492,"value__fft_coefficient__coeff_8__attr_""real""|T",0.0
1509,"value__fft_coefficient__coeff_9__attr_""imag""|CLCT",0.0
1160,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5|T",0.0
1448,"value__fft_coefficient__coeff_6__attr_""real""|V_10m",0.0
1447,"value__fft_coefficient__coeff_6__attr_""real""|V_100m",0.0
1159,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5|CLCT",0.0
1507,"value__fft_coefficient__coeff_9__attr_""angle""|V_100m",0.0
1468,"value__fft_coefficient__coeff_7__attr_""real""|T",0.0
1501,"value__fft_coefficient__coeff_9__attr_""abs""|V_100m",0.0
1506,"value__fft_coefficient__coeff_9__attr_""angle""|U_10m",0.0
1451,"value__fft_coefficient__coeff_7__attr_""abs""|U_100m",0.0
1450,"value__fft_coefficient__coeff_7__attr_""abs""|T",0.0
1505,"value__fft_coefficient__coeff_9__attr_""angle""|U_100m",0.0
1496,"value__fft_coefficient__coeff_8__attr_""real""|V_10m",0.0
1449,"value__fft_coefficient__coeff_7__attr_""abs""|CLCT",0.0
1504,"value__fft_coefficient__coeff_9__attr_""angle""|T",0.0
1497,"value__fft_coefficient__coeff_9__attr_""abs""|CLCT",0.0
1499,"value__fft_coefficient__coeff_9__attr_""abs""|U_100m",0.0
1503,"value__fft_coefficient__coeff_9__attr_""angle""|CLCT",0.0
1469,"value__fft_coefficient__coeff_7__attr_""real""|U_100m",0.0
1158,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20|V_10m",0.0
1452,"value__fft_coefficient__coeff_7__attr_""abs""|U_10m",0.0
1478,"value__fft_coefficient__coeff_8__attr_""abs""|V_10m",0.0
1485,"value__fft_coefficient__coeff_8__attr_""imag""|CLCT",0.0
1491,"value__fft_coefficient__coeff_8__attr_""real""|CLCT",0.0
1474,"value__fft_coefficient__coeff_8__attr_""abs""|T",0.0
