,feature,score
458,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0|V_100m",0.0
457,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0|U_10m",0.0
456,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0|U_100m",0.0
455,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0|T",0.0
465,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2|V_10m",0.0
481,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2|U_10m",0.0
482,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2|V_100m",0.0
483,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2|V_10m",0.0
509,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4|T",0.0
508,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4|CLCT",0.0
507,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2|V_10m",0.0
506,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2|V_100m",0.0
505,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2|U_10m",0.0
504,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2|U_100m",0.0
502,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2|CLCT",0.0
501,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0|V_10m",0.0
500,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0|V_100m",0.0
499,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0|U_10m",0.0
498,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0|U_100m",0.0
497,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0|T",0.0
496,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0|CLCT",0.0
495,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6|V_10m",0.0
494,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6|V_100m",0.0
493,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6|U_10m",0.0
492,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6|U_100m",0.0
491,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6|T",0.0
490,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6|CLCT",0.0
489,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4|V_10m",0.0
487,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4|U_10m",0.0
486,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4|U_100m",0.0
484,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4|CLCT",0.0
512,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4|V_100m",0.0
454,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0|CLCT",0.0
570,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2|U_100m",0.0
572,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2|V_100m",0.0
663,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2|V_10m",0.0
662,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2|V_100m",0.0
661,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2|U_10m",0.0
660,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2|U_100m",0.0
659,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2|T",0.0
658,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2|CLCT",0.0
656,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0|V_100m",0.0
655,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0|U_10m",0.0
654,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0|U_100m",0.0
653,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0|T",0.0
664,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4|CLCT",0.0
652,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0|CLCT",0.0
650,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4|V_100m",0.0
649,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4|U_10m",0.0
648,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4|U_100m",0.0
647,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4|T",0.0
645,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2|V_10m",0.0
644,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2|V_100m",0.0
643,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2|U_10m",0.0
642,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2|U_100m",0.0
641,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2|T",0.0
638,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0|V_100m",0.0
651,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4|V_10m",0.0
665,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4|T",0.0
666,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4|U_100m",0.0
667,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4|U_10m",0.0
692,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4|V_100m",0.0
690,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4|U_100m",0.0
689,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4|T",0.0
688,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4|CLCT",0.0
687,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2|V_10m",0.0
685,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2|U_10m",0.0
684,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2|U_100m",0.0
683,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2|T",0.0
682,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2|CLCT",0.0
681,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0|V_10m",0.0
680,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0|V_100m",0.0
679,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0|U_10m",0.0
678,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0|U_100m",0.0
677,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0|T",0.0
676,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0|CLCT",0.0
675,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6|V_10m",0.0
674,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6|V_100m",0.0
673,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6|U_10m",0.0
672,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6|U_100m",0.0
671,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6|T",0.0
670,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6|CLCT",0.0
669,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4|V_10m",0.0
668,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4|V_100m",0.0
635,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0|T",0.0
571,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2|U_10m",0.0
634,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0|CLCT",0.0
632,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2|V_100m",0.0
597,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2|V_10m",0.0
596,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2|V_100m",0.0
595,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2|U_10m",0.0
594,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2|U_100m",0.0
592,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2|CLCT",0.0
591,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0|V_10m",0.0
590,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0|V_100m",0.0
589,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0|U_10m",0.0
587,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0|T",0.0
586,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0|CLCT",0.0
598,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4|CLCT",0.0
585,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6|V_10m",0.0
583,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6|U_10m",0.0
582,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6|U_100m",0.0
581,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6|T",0.0
580,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6|CLCT",0.0
1141,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10|CLCT",0.0
578,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4|V_100m",0.0
577,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4|U_10m",0.0
576,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4|U_100m",0.0
575,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4|T",0.0
574,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4|CLCT",0.0
584,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6|V_100m",0.0
599,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4|T",0.0
600,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4|U_100m",0.0
601,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4|U_10m",0.0
631,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2|U_10m",0.0
630,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2|U_100m",0.0
629,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2|T",0.0
628,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2|CLCT",0.0
626,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0|V_100m",0.0
625,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0|U_10m",0.0
624,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0|U_100m",0.0
623,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0|T",0.0
621,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0|V_10m",0.0
620,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0|V_100m",0.0
619,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0|U_10m",0.0
617,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0|T",0.0
616,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0|CLCT",0.0
615,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8|V_10m",0.0
613,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8|U_10m",0.0
612,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8|U_100m",0.0
611,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8|T",0.0
610,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8|CLCT",0.0
608,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6|V_100m",0.0
606,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6|U_100m",0.0
604,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6|CLCT",0.0
603,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4|V_10m",0.0
602,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4|V_100m",0.0
633,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2|V_10m",0.0
693,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4|V_10m",0.0
453,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2|V_10m",0.0
451,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2|U_10m",0.0
290,value__approximate_entropy__m_2__r_0.5|V_100m,0.0
289,value__approximate_entropy__m_2__r_0.5|U_10m,0.0
286,value__approximate_entropy__m_2__r_0.5|CLCT,0.0
285,value__approximate_entropy__m_2__r_0.3|V_10m,0.0
284,value__approximate_entropy__m_2__r_0.3|V_100m,0.0
283,value__approximate_entropy__m_2__r_0.3|U_10m,0.0
281,value__approximate_entropy__m_2__r_0.3|T,0.0
280,value__approximate_entropy__m_2__r_0.3|CLCT,0.0
279,value__approximate_entropy__m_2__r_0.1|V_10m,0.0
278,value__approximate_entropy__m_2__r_0.1|V_100m,0.0
291,value__approximate_entropy__m_2__r_0.5|V_10m,0.0
277,value__approximate_entropy__m_2__r_0.1|U_10m,0.0
275,value__approximate_entropy__m_2__r_0.1|T,0.0
274,value__approximate_entropy__m_2__r_0.1|CLCT,0.0
273,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""|V_10m",0.0
272,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""|V_100m",0.0
270,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""|U_100m",0.0
269,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""|T",0.0
268,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""|CLCT",0.0
267,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""|V_10m",0.0
266,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""|V_100m",0.0
264,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""|U_100m",0.0
276,value__approximate_entropy__m_2__r_0.1|U_100m,0.0
292,value__approximate_entropy__m_2__r_0.7|CLCT,0.0
293,value__approximate_entropy__m_2__r_0.7|T,0.0
294,value__approximate_entropy__m_2__r_0.7|U_100m,0.0
321,value__ar_coefficient__k_10__coeff_2|V_10m,0.0
319,value__ar_coefficient__k_10__coeff_2|U_10m,0.0
318,value__ar_coefficient__k_10__coeff_2|U_100m,0.0
317,value__ar_coefficient__k_10__coeff_2|T,0.0
316,value__ar_coefficient__k_10__coeff_2|CLCT,0.0
314,value__ar_coefficient__k_10__coeff_1|V_100m,0.0
313,value__ar_coefficient__k_10__coeff_1|U_10m,0.0
311,value__ar_coefficient__k_10__coeff_1|T,0.0
309,value__ar_coefficient__k_10__coeff_0|V_10m,0.0
308,value__ar_coefficient__k_10__coeff_0|V_100m,0.0
307,value__ar_coefficient__k_10__coeff_0|U_10m,0.0
306,value__ar_coefficient__k_10__coeff_0|U_100m,0.0
305,value__ar_coefficient__k_10__coeff_0|T,0.0
304,value__ar_coefficient__k_10__coeff_0|CLCT,0.0
303,value__approximate_entropy__m_2__r_0.9|V_10m,0.0
302,value__approximate_entropy__m_2__r_0.9|V_100m,0.0
301,value__approximate_entropy__m_2__r_0.9|U_10m,0.0
300,value__approximate_entropy__m_2__r_0.9|U_100m,0.0
299,value__approximate_entropy__m_2__r_0.9|T,0.0
298,value__approximate_entropy__m_2__r_0.9|CLCT,0.0
297,value__approximate_entropy__m_2__r_0.7|V_10m,0.0
296,value__approximate_entropy__m_2__r_0.7|V_100m,0.0
295,value__approximate_entropy__m_2__r_0.7|U_10m,0.0
263,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""|T",0.0
322,value__ar_coefficient__k_10__coeff_3|CLCT,0.0
262,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""|CLCT",0.0
260,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""|V_100m",0.0
222,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""|U_100m",0.0
221,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""|T",0.0
220,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""|CLCT",0.0
219,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""|V_10m",0.0
218,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""|V_100m",0.0
217,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""|U_10m",0.0
216,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""|U_100m",0.0
215,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""|T",0.0
214,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""|CLCT",0.0
213,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""|V_10m",0.0
223,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""|U_10m",0.0
212,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""|V_100m",0.0
206,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""|V_100m",0.0
204,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""|U_100m",0.0
203,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""|T",0.0
202,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""|CLCT",0.0
201,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""|V_10m",0.0
200,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""|V_100m",0.0
199,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""|U_10m",0.0
198,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""|U_100m",0.0
197,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""|T",0.0
196,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""|CLCT",0.0
209,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""|T",0.0
225,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""|V_10m",0.0
226,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""|CLCT",0.0
228,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""|U_100m",0.0
259,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""|U_10m",0.0
258,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""|U_100m",0.0
257,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""|T",0.0
255,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""|V_10m",0.0
254,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""|V_100m",0.0
253,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""|U_10m",0.0
251,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""|T",0.0
250,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""|CLCT",0.0
249,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""|V_10m",0.0
248,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""|V_100m",0.0
247,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""|U_10m",0.0
245,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""|T",0.0
243,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""|V_10m",0.0
242,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""|V_100m",0.0
241,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""|U_10m",0.0
240,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""|U_100m",0.0
239,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""|T",0.0
238,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""|CLCT",0.0
237,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""intercept""|V_10m",0.0
235,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""intercept""|U_10m",0.0
234,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""intercept""|U_100m",0.0
230,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""|V_100m",0.0
229,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""|U_10m",0.0
261,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""|V_10m",0.0
452,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2|V_100m",0.0
325,value__ar_coefficient__k_10__coeff_3|U_10m,0.0
327,value__ar_coefficient__k_10__coeff_3|V_10m,0.0
410,value__autocorrelation__lag_9|V_100m,0.0
409,value__autocorrelation__lag_9|U_10m,0.0
407,value__autocorrelation__lag_9|T,0.0
406,value__autocorrelation__lag_9|CLCT,0.0
405,value__autocorrelation__lag_8|V_10m,0.0
404,value__autocorrelation__lag_8|V_100m,0.0
403,value__autocorrelation__lag_8|U_10m,0.0
402,value__autocorrelation__lag_8|U_100m,0.0
401,value__autocorrelation__lag_8|T,0.0
400,value__autocorrelation__lag_8|CLCT,0.0
411,value__autocorrelation__lag_9|V_10m,0.0
399,value__autocorrelation__lag_7|V_10m,0.0
397,value__autocorrelation__lag_7|U_10m,0.0
396,value__autocorrelation__lag_7|U_100m,0.0
395,value__autocorrelation__lag_7|T,0.0
394,value__autocorrelation__lag_7|CLCT,0.0
393,value__autocorrelation__lag_6|V_10m,0.0
392,value__autocorrelation__lag_6|V_100m,0.0
391,value__autocorrelation__lag_6|U_10m,0.0
390,value__autocorrelation__lag_6|U_100m,0.0
389,value__autocorrelation__lag_6|T,0.0
388,value__autocorrelation__lag_6|CLCT,0.0
398,value__autocorrelation__lag_7|V_100m,0.0
412,value__binned_entropy__max_bins_10|CLCT,0.0
413,value__binned_entropy__max_bins_10|T,0.0
415,value__binned_entropy__max_bins_10|U_10m,0.0
450,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2|U_100m",0.0
449,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2|T",0.0
448,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2|CLCT",0.0
447,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0|V_10m",0.0
446,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0|V_100m",0.0
443,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0|T",0.0
442,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0|CLCT",0.0
440,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0|V_100m",0.0
438,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0|U_100m",0.0
437,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0|T",0.0
433,value__c3__lag_3|U_10m,0.0
431,value__c3__lag_3|T,0.0
430,value__c3__lag_3|CLCT,0.0
428,value__c3__lag_2|V_100m,0.0
426,value__c3__lag_2|U_100m,0.0
425,value__c3__lag_2|T,0.0
424,value__c3__lag_2|CLCT,0.0
421,value__c3__lag_1|U_10m,0.0
420,value__c3__lag_1|U_100m,0.0
419,value__c3__lag_1|T,0.0
418,value__c3__lag_1|CLCT,0.0
417,value__binned_entropy__max_bins_10|V_10m,0.0
416,value__binned_entropy__max_bins_10|V_100m,0.0
387,value__autocorrelation__lag_5|V_10m,0.0
326,value__ar_coefficient__k_10__coeff_3|V_100m,0.0
386,value__autocorrelation__lag_5|V_100m,0.0
384,value__autocorrelation__lag_5|U_100m,0.0
351,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""|V_10m",0.0
350,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""|V_100m",0.0
349,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""|U_10m",0.0
348,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""|U_100m",0.0
347,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""|T",0.0
346,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""usedlag""|CLCT",0.0
345,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""teststat""|V_10m",0.0
343,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""teststat""|U_10m",0.0
342,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""teststat""|U_100m",0.0
341,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""teststat""|T",0.0
352,value__autocorrelation__lag_0|CLCT,0.0
340,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""teststat""|CLCT",0.0
338,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""|V_100m",0.0
337,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""|U_10m",0.0
336,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""|U_100m",0.0
335,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""|T",0.0
333,value__ar_coefficient__k_10__coeff_4|V_10m,0.0
332,value__ar_coefficient__k_10__coeff_4|V_100m,0.0
331,value__ar_coefficient__k_10__coeff_4|U_10m,0.0
330,value__ar_coefficient__k_10__coeff_4|U_100m,0.0
329,value__ar_coefficient__k_10__coeff_4|T,0.0
328,value__ar_coefficient__k_10__coeff_4|CLCT,0.0
339,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""|V_10m",0.0
353,value__autocorrelation__lag_0|T,0.0
354,value__autocorrelation__lag_0|U_100m,0.0
355,value__autocorrelation__lag_0|U_10m,0.0
383,value__autocorrelation__lag_5|T,0.0
382,value__autocorrelation__lag_5|CLCT,0.0
